販売名,成分名,規格,YJコード,メーカー,先発後発,局方,薬価,院外処方可否,判定根拠,廃止経過措置,廃止区分,備考
注射用チオペンタールナトリウム,チオペンタールナトリウム,３００ｍｇ１管,1115400X1019,,,局,731,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用チオペンタールナトリウム,チオペンタールナトリウム,５００ｍｇ１管,1115400X2015,,,局,892,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用チアミラールナトリウム,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,1115403D3019,,,局,572,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
イソゾール注射用０．５ｇ,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,1115403D3043,日医工,,局,572,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
注射用チアミラールナトリウム,チアミラールナトリウム,３００ｍｇ１瓶（溶解液付）,1115403D4015,,,局,458,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ケタラール静注用２００ｍｇ,ケタミン塩酸塩,２００ｍｇ２０ｍＬ１瓶,1119400A1031,第一三共,先発品,,1618,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ケタラール筋注用５００ｍｇ,ケタミン塩酸塩,５００ｍｇ１０ｍＬ１瓶,1119400A2038,第一三共,先発品,,1529,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ケタラール静注用５０ｍｇ,ケタミン塩酸塩,５０ｍｇ５ｍＬ１管,1119400A3026,第一三共,先発品,,680,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
ドロレプタン注射液２５ｍｇ,ドロペリドール,２．５ｍｇ１ｍＬバイアル,1119401A1036,アルフレッサファーマ,先発品,,90,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
１％ディプリバン注,プロポフォール,２００ｍｇ２０ｍＬ１管,1119402A1022,サンドファーマ,先発品,,887,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,,,
