販売名,成分名,規格,判定,判定根拠,レビュー理由
注射用チオペンタールナトリウム,チオペンタールナトリウム,３００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用チオペンタールナトリウム,チオペンタールナトリウム,５００ｍｇ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用チアミラールナトリウム,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
イソゾール注射用０．５ｇ,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
注射用チアミラールナトリウム,チアミラールナトリウム,３００ｍｇ１瓶（溶解液付）,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケタラール静注用２００ｍｇ,ケタミン塩酸塩,２００ｍｇ２０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケタラール筋注用５００ｍｇ,ケタミン塩酸塩,５００ｍｇ１０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ケタラール静注用５０ｍｇ,ケタミン塩酸塩,５０ｍｇ５ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
ドロレプタン注射液２５ｍｇ,ドロペリドール,２．５ｍｇ１ｍＬバイアル,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
１％ディプリバン注,プロポフォール,２００ｍｇ２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール１％静注２０ｍＬ「日医工」,プロポフォール,２００ｍｇ２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注１％２０ｍＬ「ＦＫ」,プロポフォール,２００ｍｇ２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注１％２０ｍＬ「マルイシ」,プロポフォール,２００ｍｇ２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール１％静注２０ｍＬ「ＶＴＲＳ」,プロポフォール,２００ｍｇ２０ｍＬ１管,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
１％ディプリバン注,プロポフォール,５００ｍｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール１％静注５０ｍＬ「日医工」,プロポフォール,５００ｍｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注１％５０ｍＬ「ＦＫ」,プロポフォール,５００ｍｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注１％５０ｍＬ「マルイシ」,プロポフォール,５００ｍｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール１％静注５０ｍＬ「ＶＴＲＳ」,プロポフォール,５００ｍｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール１％静注１００ｍＬ「日医工」,プロポフォール,１ｇ１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注１％１００ｍＬ「ＦＫ」,プロポフォール,１ｇ１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注１％１００ｍＬ「マルイシ」,プロポフォール,１ｇ１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール１％静注１００ｍＬ「ＶＴＲＳ」,プロポフォール,１ｇ１００ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
プロポフォール静注２％５０ｍＬ「マルイシ」,プロポフォール,１ｇ５０ｍＬ１瓶,×,告示第十第一号のどのカテゴリにも該当せず（院内処方のみ）,UNMATCHED（×判定の妥当性確認）
