区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
注射薬,1115400X1019,チオペンタールナトリウム,３００ｍｇ１管,局,,,注射用チオペンタールナトリウム,,,,,731,,
注射薬,1115400X2015,チオペンタールナトリウム,５００ｍｇ１管,局,,,注射用チオペンタールナトリウム,,,,,892,,
注射薬,1115403D3019,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,局,,,注射用チアミラールナトリウム,,,,,572,,
注射薬,1115403D3043,チアミラールナトリウム,５００ｍｇ１瓶（溶解液付）,局,,,イソゾール注射用０．５ｇ,日医工,,,,572,,
注射薬,1115403D4015,チアミラールナトリウム,３００ｍｇ１瓶（溶解液付）,局,,,注射用チアミラールナトリウム,,,,,458,,
注射薬,1119400A1031,ケタミン塩酸塩,２００ｍｇ２０ｍＬ１瓶,,麻,,ケタラール静注用２００ｍｇ,第一三共,,先発品,,1618,,
注射薬,1119400A2038,ケタミン塩酸塩,５００ｍｇ１０ｍＬ１瓶,,麻,,ケタラール筋注用５００ｍｇ,第一三共,,先発品,,1529,,
注射薬,1119400A3026,ケタミン塩酸塩,５０ｍｇ５ｍＬ１管,,麻,,ケタラール静注用５０ｍｇ,第一三共,,先発品,,680,,
注射薬,1119401A1036,ドロペリドール,２．５ｍｇ１ｍＬバイアル,,,,ドロレプタン注射液２５ｍｇ,アルフレッサファーマ,,先発品,,90,,
注射薬,1119402A1022,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,１％ディプリバン注,サンドファーマ,,先発品,,887,,
注射薬,1119402A1073,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール１％静注２０ｍＬ「日医工」,日医工,,,,594,,
注射薬,1119402A1103,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール静注１％２０ｍＬ「ＦＫ」,フレゼニウスカービジャパン,,,,594,,
注射薬,1119402A1120,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール静注１％２０ｍＬ「マルイシ」,丸石製薬,,,,887,,
注射薬,1119402A1138,プロポフォール,２００ｍｇ２０ｍＬ１管,,,,プロポフォール１％静注２０ｍＬ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,,,,752,,
注射薬,1119402A2029,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,１％ディプリバン注,サンドファーマ,,先発品,,1021,,
注射薬,1119402A2100,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール１％静注５０ｍＬ「日医工」,日医工,,,,1327,,
注射薬,1119402A2134,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール静注１％５０ｍＬ「ＦＫ」,フレゼニウスカービジャパン,,,,886,,
注射薬,1119402A2150,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール静注１％５０ｍＬ「マルイシ」,丸石製薬,,,,1327,,
注射薬,1119402A2169,プロポフォール,５００ｍｇ５０ｍＬ１瓶,,,,プロポフォール１％静注５０ｍＬ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,,,,1021,,
注射薬,1119402A3050,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール１％静注１００ｍＬ「日医工」,日医工,,,,1900,,
注射薬,1119402A3084,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール静注１％１００ｍＬ「ＦＫ」,フレゼニウスカービジャパン,,,,1268,,
注射薬,1119402A3106,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール静注１％１００ｍＬ「マルイシ」,丸石製薬,,,,1900,,
注射薬,1119402A3114,プロポフォール,１ｇ１００ｍＬ１瓶,,,,プロポフォール１％静注１００ｍＬ「ＶＴＲＳ」,ヴィアトリス・ヘルスケア,,,,1593,,
注射薬,1119402A5036,プロポフォール,１ｇ５０ｍＬ１瓶,,,,プロポフォール静注２％５０ｍＬ「マルイシ」,丸石製薬,,,,1900,,
注射薬,1119402G1025,プロポフォール,２００ｍｇ２０ｍＬ１筒,,,,１％ディプリバン注－キット,サンドファーマ,,先発品,,2670,,
注射薬,1119402G2021,プロポフォール,５００ｍｇ５０ｍＬ１筒,,,,１％ディプリバン注－キット,サンドファーマ,,先発品,,2670,,
注射薬,1119403F1024,レミマゾラムベシル酸塩,５０ｍｇ１瓶,,,,アネレム静注用５０ｍｇ,ムンディファーマ,,先発品,,2218,,
注射薬,1119403F2020,レミマゾラムベシル酸塩,２０ｍｇ１瓶,,,,アネレム静注用２０ｍｇ,ムンディファーマ,,先発品,,1540,,
注射薬,1124400A1058,フルニトラゼパム,２ｍｇ１管,,,,サイレース静注２ｍｇ,エーザイ,,先発品,,121,,
注射薬,1124401A1052,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ドルミカム注射液１０ｍｇ,丸石製薬,,先発品,,115,,
注射薬,1124401A1060,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注１０ｍｇ「サンド」,サンド,,,,92,,
注射薬,1124401A1095,ミダゾラム,１０ｍｇ２ｍＬ１管,,,,ミダゾラム注射液１０ｍｇ「ＮＩＧ」,日医工岐阜工場,,,,115,,
注射薬,1124402A1057,ジアゼパム,５ｍｇ１管,,,,ジアゼパム注射液５ｍｇ「ＮＩＧ」,日医工岐阜工場,,,,120,,
注射薬,1124402A2045,ジアゼパム,１０ｍｇ１管,,,,ホリゾン注射液１０ｍｇ,丸石製薬,,先発品,,118,,
注射薬,1124402A2070,ジアゼパム,１０ｍｇ１管,,,,ジアゼパム注射液１０ｍｇ「ＮＩＧ」,日医工岐阜工場,,,,118,,
注射薬,1125402A1054,フェノバルビタール,１０％１ｍＬ１管,,,,フェノバール注射液１００ｍｇ,藤永製薬,,,,70,,
注射薬,1129400A1054,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,プレセデックス静注液２００μｇ「ファイザー」,ファイザー,,先発品,○,2154,,
注射薬,1129400A1062,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,デクスメデトミジン静注液２００μｇ「サンド」,サンド,後発品,,,1076,,
注射薬,1129400A1070,デクスメデトミジン塩酸塩,２００μｇ２ｍＬ１瓶,,,,デクスメデトミジン静注液２００μｇ「ニプロ」,ニプロ,後発品,,,1434,,
注射薬,1129400G1022,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,,,,プレセデックス静注液２００μｇ／５０ｍＬシリンジ「ファイザー」,ファイザー,,先発品,○,1927,,
注射薬,1129400G1049,デクスメデトミジン塩酸塩,２００μｇ５０ｍＬ１筒,,,,デクスメデトミジン静注液２００μｇ／５０ｍＬシリンジ「ニプロ」,ニプロ,後発品,,,1877,,
注射薬,1132400A1033,フェニトインナトリウム,５％５ｍＬ１管,,,,アレビアチン注２５０ｍｇ,住友ファーマ,,先発品,,123,,
注射薬,1132401A1020,ホスフェニトインナトリウム水和物,７５０ｍｇ１０ｍＬ１瓶,,,,ホストイン静注７５０ｍｇ,ノーベルファーマ,,先発品,,6419,,
注射薬,1139400F1023,フェノバルビタールナトリウム,２５０ｍｇ１瓶,,,,ノーベルバール静注用２５０ｍｇ,ノーベルファーマ,,先発品,,1802,,
注射薬,1139401A1020,ミダゾラム,１０ｍｇ１０ｍＬ１瓶,,,,ミダフレッサ静注０．１％,アルフレッサファーマ,,先発品,,3146,,
注射薬,1139402A1025,レベチラセタム,５００ｍｇ５ｍＬ１瓶,,,,イーケプラ点滴静注５００ｍｇ,ユーシービージャパン,,先発品,○,1180,,
注射薬,1139402A2021,レベチラセタム,５００ｍｇ５ｍＬ１管,,,,レベチラセタム点滴静注５００ｍｇ「アメル」,共和薬品工業,後発品,,,572,,
注射薬,1139402A2030,レベチラセタム,５００ｍｇ５ｍＬ１管,,,,レベチラセタム点滴静注５００ｍｇ「日新」,日新製薬（山形）,後発品,,,625,,
注射薬,1139402A2048,レベチラセタム,５００ｍｇ５ｍＬ１管,,,,レベチラセタム点滴静注５００ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,639,,
注射薬,1139403A1020,ロラゼパム,２ｍｇ１ｍＬ１瓶,,,,ロラピタ静注２ｍｇ,ファイザー,,先発品,,1964,,
注射薬,1139404A1024,ラコサミド,２００ｍｇ２０ｍＬ１瓶,,,,ビムパット点滴静注２００ｍｇ,ユーシービージャパン,,先発品,,4298,,
注射薬,1139404A2020,ラコサミド,１００ｍｇ１０ｍＬ１瓶,,,,ビムパット点滴静注１００ｍｇ,ユーシービージャパン,,先発品,,2450,,
注射薬,1139405D1025,ペランパネル水和物,２ｍｇ１瓶,,,,フィコンパ点滴静注用２ｍｇ,エーザイ,,先発品,,1962,,
注射薬,1139406A1023,ブリーバラセタム,２５ｍｇ２．５ｍＬ１瓶,,,,ブリィビアクト静注２５ｍｇ,ユーシービージャパン,,先発品,,2450,,
注射薬,1141400A2020,アセトアミノフェン,１，０００ｍｇ１００ｍＬ１袋,,,,アセリオ静注液１０００ｍｇバッグ,テルモ,,先発品,,292,,
注射薬,1143400A2017,サリチル酸ナトリウム,５％１０ｍＬ１管,,,,サリチル酸ナトリウム５％１０ｍＬ注射液,,後発品,,,63,,
注射薬,1144400A1018,スルピリン水和物,１０％２ｍＬ１管,局,,,スルピリン注射液,,,,,94,,
注射薬,1144400A2014,スルピリン水和物,２５％１ｍＬ１管,局,,,スルピリン注射液,,,,,97,,
注射薬,1144400A3010,スルピリン水和物,２５％２ｍＬ１管,局,,,スルピリン注射液,,,,,94,,
注射薬,1144400A4017,スルピリン水和物,５０％１ｍＬ１管,局,,,スルピリン注射液,,,,,94,,
注射薬,1149400A1049,トラマドール塩酸塩,１００ｍｇ１管,,,,トラマール注１００,日本新薬,,先発品,,241,,
注射薬,1149401A1027,ペンタゾシン,１５ｍｇ１管,,,,ソセゴン注射液１５ｍｇ,丸石製薬,,先発品,,87,,
注射薬,1149401A2023,ペンタゾシン,３０ｍｇ１管,,,,ソセゴン注射液３０ｍｇ,丸石製薬,,先発品,,171,,
注射薬,1149402A1080,ケトプロフェン,５０ｍｇ１管,,,,ケトプロフェン筋注５０ｍｇ「日新」,日新製薬（山形）,後発品,,,63,,
注射薬,1149403A1050,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,,レペタン注０．２ｍｇ,大塚製薬,,先発品,,174,,
注射薬,1149403A1077,ブプレノルフィン塩酸塩,０．２ｍｇ１管,,,,ブプレノルフィン注０．２ｍｇ「日新」,日新製薬（山形）,,,,174,,
注射薬,1149403A2057,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,,レペタン注０．３ｍｇ,大塚製薬,,先発品,,205,,
注射薬,1149403A2073,ブプレノルフィン塩酸塩,０．３ｍｇ１管,,,,ブプレノルフィン注０．３ｍｇ「日新」,日新製薬（山形）,,,,205,,
注射薬,1149407A1040,フルルビプロフェンアキセチル,５０ｍｇ５ｍＬ１管,,,,ロピオン静注５０ｍｇ,科研製薬,,先発品,,278,,
注射薬,1149500A1110,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,２０ｍＬ１管,,,,カシワドール静注,ネオクリティケア製薬,,,,78,R9.3.31まで,
注射薬,1149501A1017,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム,１０ｍＬ１管,,,,コンドロイチン硫酸エステルナトリウム・サリチル酸ナトリウム１０ｍＬ注射液,,後発品,,,63,,
注射薬,1149502A1011,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,サリチル酸ナトリウム・ジブカイン配合２ｍＬ注射液,,後発品,,,63,,
注射薬,1149502A1089,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１管,,,,ネオビタカイン注２ｍＬ,ビタカイン製薬,,,,186,,
注射薬,1149502G1022,サリチル酸ナトリウム・ジブカイン配合剤,２ｍＬ１筒,,,,ネオビタカイン注シリンジ２ｍＬ,ビタカイン製薬,,,,385,,
注射薬,1149503A1016,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,サリチル酸ナトリウム・ジブカイン配合５ｍＬ注射液,,後発品,,,63,,
注射薬,1149503A1083,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１管,,,,ネオビタカイン注５ｍＬ,ビタカイン製薬,,,,226,,
注射薬,1149503G1027,サリチル酸ナトリウム・ジブカイン配合剤,５ｍＬ１筒,,,,ネオビタカイン注シリンジ５ｍＬ,ビタカイン製薬,,,,351,,
注射薬,1149601A1031,ワクシニアウイルス接種家兎炎症皮膚抽出液,１ｍＬ１管,,,,ノイロトロピン注射液１．２単位,日本臓器製薬,,,,84,,
注射薬,1149601A2062,ワクシニアウイルス接種家兎炎症皮膚抽出液,３ｍＬ１管,,,,ノイロトロピン注射液３．６単位,日本臓器製薬,,,,158,,
注射薬,1162400A1059,乳酸ビペリデン,０．５％１ｍＬ１管,,,,アキネトン注射液５ｍｇ,住友ファーマ,,,,63,,
注射薬,1162400A1067,乳酸ビペリデン,０．５％１ｍＬ１管,,,,乳酸ビペリデン注５ｍｇ「ヨシトミ」,田辺ファーマ,後発品,,,63,,
注射薬,1164400A1045,レボドパ,０．２５％１０ｍＬ１管,,,,ドパストン静注２５ｍｇ,大原薬品工業,,先発品,,192,,
注射薬,1164400A2041,レボドパ,０．２５％２０ｍＬ１管,,,,ドパストン静注５０ｍｇ,大原薬品工業,,先発品,,339,,
注射薬,1169400G1028,アポモルヒネ塩酸塩水和物,３０ｍｇ３ｍＬ１筒,,,,アポカイン皮下注３０ｍｇ,協和キリン,,先発品,,7910,,
注射薬,1169500A1023,ホスレボドパ・ホスカルビドパ水和物,１０ｍＬ１瓶,,,,ヴィアレブ配合持続皮下注,アッヴィ,,先発品,,13277,,
注射薬,1171400A1015,クロルプロマジン塩酸塩,０．５％２ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,104,,
注射薬,1171400A2011,クロルプロマジン塩酸塩,０．５％５ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,104,,
注射薬,1171400A3018,クロルプロマジン塩酸塩,１％５ｍＬ１管,局,,,クロルプロマジン塩酸塩注射液,,,,,104,,
注射薬,1172402A1046,塩酸ペルフェナジン,０．２％１ｍＬ１管,,,,ピーゼットシー筋注２ｍｇ,田辺ファーマ,,,,63,,
注射薬,1172404A1037,プロクロルペラジン,０．５％１ｍＬ１管,,,,ノバミン筋注５ｍｇ,共和薬品工業,,,,63,R9.3.31まで,
注射薬,1172405A1031,フルフェナジンデカン酸エステル,２５ｍｇ１ｍＬ１瓶,,,,フルデカシン筋注２５ｍｇ,田辺ファーマ,,先発品,,1383,,
注射薬,1174401A1038,クロミプラミン塩酸塩,２５ｍｇ１管,,,,アナフラニール点滴静注液２５ｍｇ,アルフレッサファーマ,,先発品,,225,,
注射薬,1179401A1026,ヒドロキシジン塩酸塩,２．５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（２５ｍｇ／ｍｌ）,ファイザー,,,,63,,
注射薬,1179401A2022,ヒドロキシジン塩酸塩,５％１ｍＬ１管,,,,アタラックス－Ｐ注射液（５０ｍｇ／ｍｌ）,ファイザー,,,,63,,
注射薬,1179403A1050,スルピリド,１００ｍｇ１管,,,,ドグマチール筋注１００ｍｇ,日医工,,先発品,,129,,
注射薬,1179404A1070,ハロペリドール,０．５％１ｍＬ１管,局,,,セレネース注５ｍｇ,住友ファーマ,,,,130,,
注射薬,1179404A1097,ハロペリドール,０．５％１ｍＬ１管,局,,,ハロペリドール注５ｍｇ「ヨシトミ」,田辺ファーマ,後発品,,,104,,
注射薬,1179406A1037,ハロペリドールデカン酸エステル,５０ｍｇ１ｍＬ１管,,,,ハロマンス注５０ｍｇ,クリニジェン,,先発品,,1407,,
